"filename", "language", "JavaScript", "JavaScript React", "Markdown", "XML", "CSS", "JSON", "HTML", "SQL", "comment", "blank", "total"
"d:\Dev\Beer-Bulletin\beer-bulletin\db\mongoDB\models\Message.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\Dev\Beer-Bulletin\beer-bulletin\db\schema.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 2, 0, 5, 7
"d:\Dev\Beer-Bulletin\beer-bulletin\db\seeders\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23
"d:\Dev\Beer-Bulletin\beer-bulletin\db\seeders\offerSeedData.json", "JSON", 0, 0, 0, 0, 0, 109, 0, 0, 0, 1, 110
"d:\Dev\Beer-Bulletin\beer-bulletin\db\seeders\tradeSeedData.json", "JSON", 0, 0, 0, 0, 0, 51, 0, 0, 0, 1, 52
"d:\Dev\Beer-Bulletin\beer-bulletin\db\seeders\userSeedData.json", "JSON", 0, 0, 0, 0, 0, 52, 0, 0, 0, 1, 53
"d:\Dev\Beer-Bulletin\beer-bulletin\middleware\auth.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 10, 5, 62
"d:\Dev\Beer-Bulletin\beer-bulletin\middleware\cloudinary.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 1, 4, 13
"d:\Dev\Beer-Bulletin\beer-bulletin\middleware\utils.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 12, 5, 54
"d:\Dev\Beer-Bulletin\beer-bulletin\next.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Dev\Beer-Bulletin\beer-bulletin\package-lock.json", "JSON", 0, 0, 0, 0, 0, 16728, 0, 0, 0, 1, 16729
"d:\Dev\Beer-Bulletin\beer-bulletin\package.json", "JSON", 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 44
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\404.jsx", "JavaScript React", 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\Auth\index.jsx", "JavaScript React", 0, 81, 0, 0, 0, 0, 0, 0, 2, 10, 93
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\CreatePost.jsx", "JavaScript React", 0, 6, 0, 0, 0, 0, 0, 0, 2, 3, 11
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\CurrentChats\[id].jsx", "JavaScript React", 0, 64, 0, 0, 0, 0, 0, 0, 3, 10, 77
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\CurrentChats\index.jsx", "JavaScript React", 0, 73, 0, 0, 0, 0, 0, 0, 5, 15, 93
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\SearchBulletins\[id].jsx", "JavaScript React", 0, 57, 0, 0, 0, 0, 0, 0, 1, 10, 68
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\SearchBulletins\index.jsx", "JavaScript React", 0, 43, 0, 0, 0, 0, 0, 0, 4, 13, 60
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\UserProfile\index.jsx", "JavaScript React", 0, 94, 0, 0, 0, 0, 0, 0, 3, 18, 115
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\UsersBulletins\[id].jsx", "JavaScript React", 0, 39, 0, 0, 0, 0, 0, 0, 0, 8, 47
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\UsersBulletins\index.jsx", "JavaScript React", 0, 109, 0, 0, 0, 0, 0, 0, 4, 17, 130
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\_app.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 8, 9, 62
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\_document.jsx", "JavaScript React", 0, 45, 0, 0, 0, 0, 0, 0, 25, 7, 77
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\auth.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 9, 4, 75
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\createTokenRequest.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\images\img_upload.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\images\s3-connect.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 9, 11, 79
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\messages\[slug].js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\messages\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 5, 20
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\[slug].js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 6, 67
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\index.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\with-trades\[slug].js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\offers\with-trades\index.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\[slug].js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 6, 71
"d:\Dev\Beer-Bulletin\beer-bulletin\pages\api\trades\index.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 6, 5, 53
